,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
57,Bcl6b,0.0582903522922795,0.8503303172186758,0.9864009291293862,0.07041233654610403,0.00594652733327435
59,Alox12,0.6589757307339763,0.0074631592635437,0.1920691217364889,2.1270772904524735,0.716542449492057
61,Comt,0.1351000342004276,0.552205730742699,0.935970114919394,0.25789909060328065,0.02873801785676837
62,Rtca,0.2708301458316897,0.4330606183293605,0.9008382388120836,0.3634513083502563,0.04535318715457156
63,Dbt,0.1177999522081821,0.673914713023753,0.9585673863122252,0.17139506193179063,0.018377351252414662
64,Dazap2,0.132906785577521,0.4604092461712296,0.9067597531090326,0.3368559632333357,0.042507764450418116
65,Mcts1,0.2174394484597203,0.4947107050455896,0.9173687742758552,0.30564869183528043,0.037456046622268965
66,Rem1,0.1019010258375171,0.7734628980880766,0.974786149675392,0.1115605139517795,0.011090650150303414
68,Trappc10,-0.2071340177398273,0.3706296028176238,0.8788116726540293,0.4310598957918103,0.05610418327682607
69,Ccm2,0.2398252489094844,0.3041922832383956,0.8492637792014649,0.5168518073424916,0.07095739802565387
71,Tbrg4,0.2171193685062722,0.3967398958990585,0.8857330796959522,0.40149412496671566,0.05269713531413988
72,Tmprss2,-0.0931881563108748,0.8495221072867275,0.9864009291293862,0.07082531491417139,0.00594652733327435
73,Mx1,-0.7843286744362499,0.4022595947947399,0.8886980292968005,0.39549358820664726,0.05124578288616243
74,Fap,0.0009034138282429,0.9983535071465852,0.9999260987320197,0.000715652080556578,3.209609887532843e-05
76,Ndufa9,0.2386684457127084,0.415250472629222,0.895832162080908,0.3816898645715799,0.04777334961233309
79,Tssk3,-0.6561541117420656,0.4868968828317755,0.91313813454341,0.3125630058469842,0.03946351980176474
80,Cttnbp2,-0.5321579394853916,0.0361197891761462,0.4211529170141439,1.4422547932395828,0.37556018692600124
81,Galnt1,-0.1737616821720319,0.4010056919110443,0.8877355783487685,0.3968494629209292,0.05171637427210762
83,Mkrn2,-0.0664226697058228,0.8175969265409163,0.981870752619474,0.08746074977886986,0.007945676284737909
85,Raf1,-0.023526844200513,0.9098081661277296,0.9915306140522956,0.0410501694094541,0.0036938721710079096
86,Septin1,1.1207017577397689,0.0992086441776793,0.6377849089500439,1.0034504855563924,0.19532576110005273
87,Pdgfb,0.0779852729578566,0.7161723619928476,0.9665950774164788,0.14498244298007834,0.01475542092515787
88,Acvrl1,0.4260027680263019,0.0233419684354094,0.3376176676871204,1.631862522558468,0.47157483462263955
89,Tamalin,0.4007795691206847,0.0763748484725672,0.5850552297705505,1.1170496383872708,0.23280313417012494
90,Acvr1b,-0.4940105243599259,0.3573374232246256,0.8726988631862335,0.44692149863421265,0.0591355897629304
